cws_ID,cws_name,type,dist_system_class,max_treatment_class,principal_county_served,primary_water_source_type,project_water,lat,long,within_legalDelta
CA0790006,IRONHOUSE SD WATER RECYCLING FACILITY,NP,,There are no treatment plants,CONTRA COSTA,Not listed ,Neither,,,
CA0790007,MT. VIEW SANITARY DISTRICT,NP,,There are no treatment plants,CONTRA COSTA,Not listed ,Neither,,,
CA0790009,TOWN OF DISCOVERY BAY,NP,,There are no treatment plants,CONTRA COSTA,Not listed ,Neither,,,
,,,,,,,,,,
CA3400100,ALAMAR MARINA,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400101,HOOD WATER MAINTENCE DIST [SWS],C,D2,T2,SACRAMENTO,GW,Neither,,,
CA3400103,B & W RESORT MARINA,C,D1,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400106,EAST WALNUT GROVE [SWS],C,D2,T2,SACRAMENTO,GW,Neither,,,
CA3400107,RIVER'S EDGE MARINA & RESORT,C,D1,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400113,CLIFF'S MARINA,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400117,DISCOVERY PARK [SWS],NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400119,EDDO'S HARBOR & R V PARK,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400121,EL DORADO MOBILE HOME PARK,C,D1,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400122,EL DORADO WEST MHP,C,D1,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400123,ELKHORN BOAT LAUNCH [SWS],NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400125,FREEPORT MARINA,C,D1,T2,SACRAMENTO,GW,Neither,,,
CA3400128,HAPPY HARBOR (SWS),C,D1,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400130,MAGNOLIA MUTUAL WATER,C,D1,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400131,ELKHORN I-5 REST AREA,NC,NR,TD,SACRAMENTO,GW,Neither,,,
CA3400133,KO-KET RESORT,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400135,KORTHS PIRATES LAIR,C,D1,T2,SACRAMENTO,GW,Neither,,,
CA3400137,LINCOLN CHAN-HOME RANCH,C,D1,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400138,LOCKE WATER WORKS CO [SWS],C,D1,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400139,SACRAMENTO INTERNATIONAL AIRPORT [SWS],NTNC,D4,There are no treatment plants,SACRAMENTO,SWP,Neither,,,
CA3400141,RIVERBOAT MARINA,NC,NR,T2,SACRAMENTO,GW,Neither,,,
CA3400147,PERRY'S BOAT HARBOR,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400149,RANCHO MARINA,C,D1,T2,SACRAMENTO,GW,Neither,,,
CA3400151,RYDE HOTEL,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400155,SEQUOIA WATER ASSOC,C,D1,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400156,SOUTHWEST TRACT W M D [SWS],C,D2,There are no treatment plants,SACRAMENTO,GWP,Neither,,,
CA3400164,"VIEIRA'S RESORT, INC",C,D1,T2,SACRAMENTO,GW,Neither,,,
CA3400166,WALNUT GROVE MARINA,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400167,WILLOW BERM MARINA,NC,NR,T2,SACRAMENTO,GW,Neither,,,
CA3400169,SPINDRIFT MARINA,C,D1,T2,SACRAMENTO,GW,Neither,,,
CA3400172,TOKAY PARK WATER CO,C,D1,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400173,NORTHGATE 880 [SWS],NTNC,D4,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400179,MC CLELLAN MHP,C,D1,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400180,BRANCH CENTER [SWS],NTNC,D2,T2,SACRAMENTO,GW,Neither,,,
CA3400181,LAGUNA DEL SOL INC,C,D1,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400190,IMPERIAL MANOR MOBILEHOME COMMUNITY,C,D1,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400191,ELEVEN OAKS MOBILE HOME COMMUNITY,C,D1,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400192,TUNNEL TRAILER PARK,C,D1,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400201,COUNTRYSIDE DRIVE-IN,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400202,"THE NEW WRANGLER, INC",NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400206,5 BROS (FORMERLY BRANNAN'S ISLAND MARIN),NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400208,SAC VALLEY TRUCK STOP,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400217,HOMETOWN COLONIAL ESTATES LLC,C,D1,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400226,VIRGIN STURGEON,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400229,RIO COSUMNES CORRECTIONAL CENTER [SWS],C,D2,T3,SACRAMENTO,GW,Neither,,,
CA3400232,RANCHO SECO NGS (SMUD),NTNC,D1,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400240,H C MUDDOX CO,NTNC,D1,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400248,FRANKLIN ELEMENTARY SCHOOL,NTNC,D1,T2,SACRAMENTO,GW,Neither,,,
CA3400250,PLEASANT GROVE ELEMENTARY SCHOOL,NTNC,D1,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400251,SIERRA ENTERPRISE ELEMENTARY SCHOOL,NTNC,D1,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400253,COSUMNES RIVER ELEMENTARY SCHOOL,NTNC,D1,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400254,DILLARD ELEMENTARY SCHOOL,NTNC,D2,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400267,BATES ELEMENTARY SCHOOL,NTNC,D1,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400268,WALNUT GROVE ELEMENTARY SCHOOL,NTNC,D1,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400271,ARCOHE ELEM SCHOOL - MAIN CAMPUS,NTNC,D1,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400273,WILTON BIBLE CHURCH,NTNC,D1,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400278,AMERICAN RIVER COLLEGE,NTNC,D2,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400283,VALLEY HI COUNTRY CLUB,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400286,CORDOVA GOLF COURSE,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400296,SAC CITY MOBILE HOME COMMUNITY LP,C,D1,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400297,GIBSON RANCH COUNTY PARK,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400302,RANCHO SECO PARK,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400303,DELTA BEACH RESORTS [SWS],NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400331,WESTERNER MOBILE HOME PARK,C,D1,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400333,SWABBIES,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400334,COURTLAND BOARDWALK,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400335,HOLIDAY MOBILE VILLAGE,C,D1,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400336,BROOKSIDE EQUESTRIAN PARK,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400342,KIEFER LANDFILL [SWS],NTNC,D2,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400356,OWL HARBOR,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400358,"6200 FRANKLIN, LLC (SWS)",NTNC,D1,T2,SACRAMENTO,GW,Neither,,,
CA3400364,JEAN HARVIE SCHOOL [SWS],NTNC,D1,T2,SACRAMENTO,GW,Neither,,,
CA3400374,DUCK ISLAND RV PARK,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400375,SLAVIC MISSIONARY CHURCH INC,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400376,SLOUGHHOUSE INN,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400377,PARK DELTA BAY,NC,NR,T2,SACRAMENTO,GW,Neither,,,
CA3400379,SILVA'S SHELDON INN,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400380,BERT'S DINER,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400382,BRADSHAW RANCH GOLF COURSE INC,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400383,BUILDING TRADES ASSOC,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400393,NORTH RIDGE COUNTRY CLUB,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400394,DELTA SHORES RESORT,NTNC,D1,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400396,TEAL BEND GOLF COURSE,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400397,LAGUNA VILLAGE RV PARK,C,D1,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400401,PLANTATION MOBILE HOME PARK,C,D1,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400402,MOORE LEARNING (FORMERLY SHELDON ACRES),NTNC,D1,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400410,SHELDON TRADING POST,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400416,PAPE MACHINERY,NTNC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400417,GRANT LINE KITCHEN LLC.,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400418,CANNERY LANDING,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400419,HAPPY BAR,NC,NR,T2,SACRAMENTO,GW,Neither,,,
CA3400420,RIO VIENTO RV CAMP [SWS],NC,NR,T2,SACRAMENTO,GW,Neither,,,
CA3400424,JACKSON SHELL (SWS),NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400425,SACRAMENTO RENDERING,NTNC,D1,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400428,TRAP THE (SWS),NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400429,ADESA OF SACRAMENTO,NTNC,D1,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400432,COSUMNES RIVER PRESERVE VISITOR (BLM),NC,NR,T1,SACRAMENTO,GW,Neither,,,
CA3400433,EDGEWATER MOBILE HOME PARK,C,D1,T2,SACRAMENTO,GW,Neither,,,
CA3400434,CARSON LANDSCAPE INDUSTRIES,NTNC,D1,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400435,WILTON CHEVRON,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400441,FREEPORT VENTURES,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400443,RICK'S HACIENDA (SWS),NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400444,SHERMAN ISLAND MARINA,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400448,SAN ANDREAS RV PARK,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400451,TEICHERT PERKINS,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400452,SILVERADO WATER SYSTEM,NTNC,D1,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400453,"MATSUDA'S BY GREEN ACRES, LLC",NTNC,D1,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400454,VILLAGE BRADSHAW,NTNC,D1,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400455,GRAND ISLAND MANSION,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400456,STAFFORD MEAT COMPANY,NTNC,D1,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400457,FLYING V STATION,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400458,ROMA'S PIZZERIA,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400459,ON THE Y,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400460,CHURCH OF JESUS CHRIST OF LDS (SWS),NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400461,DELTA FARMER'S MARKET,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400462,KING'S SKATE COUNTRY,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400463,NATOMAS GOLF CENTER,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400464,"RIVER CITY RECOVERY CENTER, INC. (SWS)",NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400465,STS,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400466,SUBWAY SANDWICH,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400467,ST MARIA GORETTI PARISH (SWS),NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400469,DILLARD STORE (SWS),NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400470,APRO 1966 (SWS),NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400471,POINT PLEASANT CHURCH,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400473,METRO AIR PARK WATER SYSTEM,NTNC,D1,There are no treatment plants,SACRAMENTO,SWP,Neither,,,
CA3400474,SCRIBNER BEND VINEYARD,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400475,HEDGE TRAINING FACILITY,NTNC,D1,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400477,LOU'S DRIVE-IN NO.2,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3400478,TAQUERIA EL AHIJADO NELO,NC,NR,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3410001,SACRAMENTO SUBURBAN WATER DISTRICT,C,D4,T2,SACRAMENTO,SWP,CVP,38.64738312,-121.3702067,
CA3410002,SCWA - ARDEN PARK VISTA,C,D2,T2,SACRAMENTO,GW,Neither,,,
CA3410003,GOLDEN STATE WATER CO - ARDEN WATER SERV,C,D2,T1,SACRAMENTO,GW,Neither,,,
CA3410004,CARMICHAEL WATER DISTRICT,C,D3,T5,SACRAMENTO,GU,Neither,,,
CA3410005,RANCHO MURIETA COMMUNITY SERVI,C,D2,T3,SACRAMENTO,SW,Neither,,,
CA3410006,CITRUS HEIGHTS WATER DISTRICT,C,D4,TD,SACRAMENTO,SWP,CVP,38.6940315,-121.2703805,
CA3410007,SSWD - DEL PASO MANOR SERVICE AREA,C,D2,T2,SACRAMENTO,GW,Neither,,,
CA3410008,ELK GROVE WATER DISTRICT,C,D3,T3,SACRAMENTO,SWP,Neither,,,
CA3410009,FAIR OAKS WATER DISTRICT,C,D3,TD,SACRAMENTO,SWP,CVP,38.65352369,-121.2496606,
CA3410010,CAL AM - SUBURBAN ROSEMONT,C,D4,T2,SACRAMENTO,SWP,CVP,38.55544192,-121.3406016,
CA3410011,"GALT, CITY OF",C,D3,T2,SACRAMENTO,GW,Neither,,,
CA3410012,CAL AM - ISLETON,C,D2,T2,SACRAMENTO,GW,Neither,,,
CA3410013,CAL AM - LINCOLN OAKS,C,D3,T2,SACRAMENTO,SWP,CVP,38.69382191,-121.3182968,
CA3410014,"FOLSOM, CITY OF - MAIN",C,D4,T5,SACRAMENTO,SW,CVP,38.6439268,-121.1549122,
CA3410015,GOLDEN STATE WATER CO. - CORDOVA,C,D3,T4,SACRAMENTO,SW,Neither,,,
CA3410016,ORANGE VALE WATER COMPANY,C,D3,There are no treatment plants,SACRAMENTO,SWP,CVP,38.68482932,-121.221233,
CA3410017,CAL AM - PARKWAY,C,D3,T3,SACRAMENTO,SWP,CVP,38.47817034,-121.410076,
CA3410018,RIO LINDA/ELVERTA COMMUNITY WATER DIST,C,D3,T1,SACRAMENTO,GW,Neither,,,
CA3410020,CITY OF SACRAMENTO MAIN,C,D4,T5,SACRAMENTO,SW,Neither,,,
CA3410021,SAN JUAN WATER DISTRICT,C,D4,T5,SACRAMENTO,SW,CVP,38.73124949,-121.1962412,
CA3410022,OLYMPIA MOBILODGE,C,D1,There are no treatment plants,SACRAMENTO,GW,Neither,,,
CA3410023,CAL AM - FRUITRIDGE VISTA,C,D3,T2,SACRAMENTO,SWP,Neither,,,
CA3410026,CALIFORNIA STATE FAIR,C,D1,TD,SACRAMENTO,GW,Neither,,,
CA3410027,CAL AM - SECURITY PARK,NTNC,D1,T1,SACRAMENTO,SWP,Neither,,,
CA3410029,SCWA - LAGUNA/VINEYARD,C,D5,T5,SACRAMENTO,SW,Neither,,,
